term,term_lemma,familiarity_score
Open Archive Initiative Protocol for Metadata Harvesting,open archive initiative protocol for metadata harvesting,2.1666666666666665
Osaka Prefectural International Institute for Children's Literature,osaka prefectural international institute for child 's literature,2.0833333333333335
Paris Principles,paris principle,3.0
Periods for Integrated Study,period for integrated study,1.3333333333333333
Pinakes,pinake,3.0
Portable Document Format,portable document format,3.6666666666666665
Preserved Context Index System,preserve context index system,2.75
Private Finance Initiative,private finance initiative,3.1666666666666665
Promotion of Lifelong Learning Law,promotion of lifelong learning law,2.6
Public Libraries and Museums Act,public library and museum act,1.8
Public Library Manifesto,public library manifesto,1.75
Public University Library Association,public university library association,1.875
RLG,rlg,3.0
Records Management Society of Japan,records management society of japan,2.0
Research Library Group,research library group,2.0
Resource Description Framework,resource description framework,2.5
Rules of Reference Work,rule of reference work,2.125
Russian State Library,russian state library,2.166666666666667
SIST,sist,3.0
SNS,sns,3.0
Sano Tomosaburo,sano tomosaburo,3.0
Scholarly Publishing and Academic Resources Coalition,scholarly publishing and academic resource coalition,3.4
School Library Law,school library law,1.3333333333333333
School Library Manifesto,school library manifesto,1.0
Sho-oku,sho - oku,3.0
Social Education Law,social education law,1.6666666666666667
Society for Children's Libraries,society for child 's library,1.3
Society of Study on Academic Library Problems,society of study on academic library problem,1.5714285714285714
Sonkeikaku-bunko,sonkeikaku - bunko,3.0
Staatsbibliothek zu Berlin--Preu-ss ischer Kulturbesitz,staatsbibliothek zu berlin -- preu - ss ischer kulturbesitz,3.0
Standard Generalized Markup Language,standard generalize markup language,2.25
Standards for Information of Science and Technology,standard for information of science and technology,1.4285714285714286
Statement on Intellectual Freedom in Libraries,statement on intellectual freedom in library,2.0
Subject Classification,subject classification,2.5
Sung edition,sung edition,3.0
Systematic Indexing,systematic indexing,3.0
TEL,tel,3.0
Tanaka Fujimaro,tanaka fujimaro,3.0
Tanaka Inagi,tanaka inagi,3.0
Text REtrieval Conference,text retrieval conference,3.0
The Association for Information Management,the association for information management,1.7
The European Library,the european library,1.0
The UK Office for Library and Information Networking,the uk office for library and information network,1.3571428571428572
Ts'ai Lun,ts'ai lun,3.0
UBC,ubc,3.0
UDC,udc,3.0
UKOLN,ukoln,3.0
Universal Bibliographic Control,universal bibliographic control,3.25
Universal Decimal Classification,universal decimal classification,4.0
Universal Resource Identifier,universal resource identifier,3.5
University Establishment Standards,university establishment standard,2.8333333333333335
