term,term_lemma,familiarity_score
title on the first page of text,title on the first page of text,1.3571428571428572
title page,title page,1.5
title page substitute,title page substitute,2.1666666666666665
title piece,title piece,1.5
title proper,title proper,2.0
tool phase,tool phase,3.0
topical subdivision,topical subdivision,4.0
tracing,trace,3.5
trade bibliography,trade bibliography,3.0
trade catalog,trade catalog,3.0
translation,translation,4.0
translation service,translation service,3.5
translation service into black letter,translation service into black letter,2.0
translation service into braille,translation service into braille,2.6666666666666665
transliteration,transliteration,3.0
traveling library,travel library,1.25
treatise,treatise,3.0
truncation,truncation,3.0
turnover rate,turnover rate,3.0
turnover rate of purchased books,turnover rate of purchase book,2.5
type page,type page,1.5
typeface,typeface,3.0
unabridged edition,unabridged edition,3.0
uncut,uncut,3.0
undergraduate library,undergraduate library,2.5
unexpressed demand,unexpressed demand,3.0
uniform heading,uniform head,1.75
uniform title,uniform title,2.0
union catalog,union catalog,3.0
uniquely defining class,uniquely define class,3.0
unit concept,unit concept,2.5
uniterm,uniterm,3.0
universal bibliography,universal bibliography,4.0
university library,university library,1.5
university press,university press,2.5
use analysis method,use analysis method,2.1666666666666665
use statistics,use statistic,1.5
use study,use study,1.5
user,user,4.0
user model,user model,3.333333333333333
user satisfaction,user satisfaction,3.5
user service,user service,3.5
user study,user study,2.75
user survey,user survey,2.5
valuable book,valuable book,2.5
value theory,value theory,3.0
variable length field,variable length field,2.0
variable length record,variable length record,2.75
variant,variant,3.0
variant name,variant name,2.0
variant title,variant title,2.0
variorum edition,variorum edition,3.0
vector space model,vector space model,2.333333333333333
vellum,vellum,3.0
verification,verification,3.0
vertical file,vertical file,3.75
videodisc,videodisc,3.0
videogram,videogram,3.0
viewpoint,viewpoint,3.0
visual material,visual material,2.5
volume,volume,3.0
volume number,volume number,2.0
volume signature,volume signature,3.0
volumes added per year,volume add per year,2.0
volumes purchased per year,volume purchase per year,2.75
wanting statement,want statement,2.25
web portal,web portal,2.0
weeding,weed,4.0
weeding criteria,weed criterion,4.0
weighting,weight,2.0
whirlwind leaf,whirlwind leaf,3.5
white paper,white paper,1.0
whole number,whole number,1.75
whole-part relationship,whole - part relationship,2.8333333333333335
wholesale bookseller,wholesale bookseller,3.0
withdrawal,withdrawal,4.5
word division,word division,2.5
word-by-word arrangement,word - by - word arrangement,1.5
work,work,1.0
work mark,work mark,1.5
xylographic book,xylographic book,2.0
yearbook,yearbook,3.0
young adult book,young adult book,1.6666666666666667
young adult service,young adult service,2.0
